id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160232385,2023-05-24,2023-05-24T18:18:39,hike,Hike,Outdoor Walking,934,938,1080.64,1.0,0.196,,,,,,,,,intervals
i160232320,2023-05-31,2023-05-31T15:09:41,hike,Hike,Outdoor Walking,1056,1057,884.22,1.0,0.185,,,,,,,,,intervals
i160232308,2023-05-31,2023-05-31T19:31:59,hike,Hike,Outdoor Walking,142,143,55.26,1.0,,,,,,,,,,intervals
i160232300,2023-06-01,2023-06-01T15:23:43,hike,Hike,Outdoor Walking,755,794,959.39,1.0,0.213,,,,,,,,,intervals
i160232233,2023-06-03,2023-06-03T23:00:47,hike,Hike,Outdoor Walking,1151,1181,1157.24,1.0,0.175,,,,,,,,,intervals
i160232214,2023-06-04,2023-06-04T13:54:32,hike,Hike,Outdoor Walking,1246,1306,1334.26,2.0,0.235,,,,,,,,,intervals
i160232208,2023-06-04,2023-06-04T17:34:43,hike,Hike,Outdoor Walking,2709,2890,3071.53,10.0,0.353,,,,,,,,,intervals
i160232198,2023-06-06,2023-06-06T14:45:44,hike,Hike,Outdoor Walking,651,693,863.43,1.0,0.228,,,,,,,,,intervals
i160232163,2023-06-08,2023-06-08T16:47:50,hike,Hike,Outdoor Walking,1267,1268,1000.28,3.0,0.292,,,,,,,,,intervals
i160232148,2023-06-08,2023-06-08T17:32:36,hike,Hike,Outdoor Walking,3067,3266,3173.43,10.0,0.332,,,,,,,,,intervals
i160232127,2023-06-09,2023-06-09T12:45:10,hike,Hike,Outdoor Walking,635,636,869.22,2.0,0.337,,,,,,,,,intervals
i160232116,2023-06-10,2023-06-10T07:50:22,hike,Hike,Outdoor Walking,1059,1137,1045.97,1.0,0.178,,,,,,,,,intervals
i160232104,2023-06-10,2023-06-10T21:28:58,hike,Hike,Outdoor Walking,1406,1407,958.16,1.0,0.16,,,,,,,,,intervals
i160232085,2023-06-11,2023-06-11T17:40:13,hike,Hike,Outdoor Walking,1081,1085,1194.26,2.0,0.258,,,,,,,,,intervals
i160232078,2023-06-11,2023-06-11T19:29:28,hike,Hike,Outdoor Walking,1415,1416,1128.68,2.0,0.226,,,,,,,,,intervals
i160232017,2023-06-16,2023-06-16T21:00:08,hike,Hike,Outdoor Walking,922,1018,978.76,2.0,0.266,,,,,,,,,intervals
i160232014,2023-06-17,2023-06-17T10:43:35,hike,Hike,Outdoor Walking,550,674,828.82,2.0,0.327,,,,,,,,,intervals
i160232006,2023-06-17,2023-06-17T16:12:37,hike,Hike,Outdoor Walking,878,949,848.03,3.0,0.338,,,,,,,,,intervals
i160231999,2023-06-17,2023-06-17T16:57:21,hike,Hike,Outdoor Walking,4245,4253,4446.56,12.0,0.319,,,,,,,,,intervals
i160231996,2023-06-18,2023-06-18T14:55:32,hike,Hike,Outdoor Walking,1214,1241,1224.35,1.0,0.17,,,,,,,,,intervals
i160231981,2023-06-18,2023-06-18T17:37:31,hike,Hike,Outdoor Walking,987,1043,936.12,1.0,0.186,,,,,,,,,intervals
i160231936,2023-06-23,2023-06-23T17:41:30,hike,Hike,Outdoor Walking,1361,1365,1355.48,2.0,0.23,,,,,,,,,intervals
i160231925,2023-06-24,2023-06-24T17:06:23,hike,Hike,Outdoor Walking,1036,1186,951.61,3.0,0.302,,,,,,,,,intervals
i160231825,2023-07-05,2023-07-05T18:09:45,hike,Hike,Outdoor Walking,1203,1220,1259.19,2.0,0.243,,,,,,,,,intervals
i160231806,2023-07-06,2023-07-06T13:03:21,hike,Hike,Outdoor Walking,1011,1137,994.43,2.0,0.252,,,,,,,,,intervals
i160231792,2023-07-06,2023-07-06T21:01:35,hike,Hike,Outdoor Walking,1677,1806,1943.36,3.0,0.245,,,,,,,,,intervals
i160231762,2023-07-07,2023-07-07T11:53:35,hike,Hike,Outdoor Walking,1144,1222,1275.33,2.0,0.243,,,,,,,,,intervals
i160231747,2023-07-07,2023-07-07T15:23:47,hike,Hike,Outdoor Walking,3949,4483,4532.94,14.0,0.335,,,,,,,,,intervals
i160231733,2023-07-09,2023-07-09T04:18:04,hike,Hike,Outdoor Walking,1120,1183,1255.95,1.0,0.175,,,,,,,,,intervals
i160231729,2023-07-09,2023-07-09T12:04:57,hike,Hike,Outdoor Walking,2026,2033,2107.51,2.0,0.188,,,,,,,,,intervals
i160231726,2023-07-10,2023-07-10T00:01:41,hike,Hike,Outdoor Walking,1430,1431,1361.44,2.0,0.224,,,,,,,,,intervals
i160231722,2023-07-10,2023-07-10T03:55:55,hike,Hike,Indoor Walking,640,645,789.79,1.0,0.236,,,,,,,,,intervals
i160231708,2023-07-10,2023-07-10T14:36:40,hike,Hike,Outdoor Walking,685,726,926.82,2.0,0.315,,,,,,,,,intervals
i160231661,2023-07-13,2023-07-13T19:29:13,hike,Hike,Outdoor Walking,906,913,1034.69,1.0,0.199,,,,,,,,,intervals
i160231616,2023-07-19,2023-07-19T16:39:48,hike,Hike,Outdoor Walking,878,890,961.79,1.0,0.201,,,,,,,,,intervals
i160231598,2023-07-20,2023-07-20T16:16:18,hike,Hike,Outdoor Walking,881,889,971.47,0.0,,,,,,,,,,intervals
i160231595,2023-07-20,2023-07-20T20:37:24,hike,Hike,Indoor Walking,1201,1289,1035.78,2.0,0.236,,,,,,,,,intervals
i160231580,2023-07-22,2023-07-22T15:49:10,hike,Hike,Indoor Walking,876,881,1015.66,1.0,0.202,,,,,,,,,intervals
i160231570,2023-07-23,2023-07-23T14:53:36,hike,Hike,Outdoor Walking,893,894,941.26,0.0,,,,,,,,,,intervals
i160231544,2023-07-26,2023-07-26T19:36:05,hike,Hike,Outdoor Walking,885,890,904.98,0.0,,,,,,,,,,intervals
i160231523,2023-07-27,2023-07-27T19:15:53,hike,Hike,Outdoor Walking,900,901,844.88,1.0,0.2,,,,,,,,,intervals
i160231515,2023-07-29,2023-07-29T13:24:15,hike,Hike,Outdoor Walking,1719,1724,2008.93,9.0,0.434,,,,,,,,,intervals
i160231498,2023-07-30,2023-07-30T14:32:02,hike,Hike,Outdoor Walking,1592,1599,1479.06,2.0,0.212,,,,,,,,,intervals
i160231478,2023-08-01,2023-08-01T06:22:04,hike,Hike,Outdoor Walking,854,993,925.81,2.0,0.269,,,,,,,,,intervals
i160231398,2023-08-04,2023-08-04T20:31:19,hike,Hike,Outdoor Walking,4158,4309,4107.98,6.0,0.224,,,,,,,,,intervals
i160231388,2023-08-05,2023-08-05T13:26:07,hike,Hike,Outdoor Walking,1641,1645,1684.1,3.0,0.256,,,,,,,,,intervals
i160231325,2023-08-07,2023-08-07T18:39:02,hike,Hike,Outdoor Walking,594,616,837.92,0.0,,,,,,,,,,intervals
i160231289,2023-08-13,2023-08-13T10:22:01,hike,Hike,Outdoor Walking,928,929,1062.06,0.0,,,,,,,,,,intervals
i160231208,2023-08-19,2023-08-19T17:30:41,hike,Hike,Outdoor Walking,1713,1714,1647.07,4.0,0.29,,,,,,,,,intervals
i160230958,2023-09-10,2023-09-10T07:51:02,hike,Hike,Outdoor Walking,1266,1267,1270.56,4.0,0.337,,,,,,,,,intervals
i160230813,2023-09-23,2023-09-23T18:12:59,hike,Hike,Outdoor Walking,3181,3185,3834.17,10.0,0.336,,,,,,,,,intervals
i160230027,2023-12-13,2023-12-13T15:27:07,hike,Hike,Outdoor Walking,977,985,1150.52,0.0,,,,,,,,,,intervals
