id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160232112,2023-06-10,2023-06-10T15:03:38,yoga,Yoga,Yoga,1971,1971,0.0,7.0,0.375,,,,,,,,,intervals
i160231930,2023-06-24,2023-06-24T05:51:11,yoga,Yoga,Yoga,2552,2552,0.0,5.0,0.27,,,,,,,,,intervals
i160231556,2023-07-25,2023-07-25T17:19:46,yoga,Yoga,Yoga,1462,1462,0.0,3.0,0.286,,,,,,,,,intervals
i160231468,2023-08-01,2023-08-01T20:15:31,yoga,Yoga,Yoga,928,928,0.0,2.0,0.28,,,,,,,,,intervals
i160231298,2023-08-12,2023-08-12T09:05:09,yoga,Yoga,Yoga,612,612,0.0,1.0,,,,,,,,,,intervals
i160231287,2023-08-13,2023-08-13T10:51:35,yoga,Yoga,Yoga,2464,2464,0.0,6.0,0.317,,,,,,,,,intervals
i160231052,2023-09-03,2023-09-03T19:06:04,yoga,Yoga,Yoga,3027,3027,0.0,5.0,0.244,,,,,,,,,intervals
i160231021,2023-09-05,2023-09-05T17:11:29,yoga,Yoga,Yoga,2940,2940,0.0,7.0,0.293,,,,,,,,,intervals
i160230938,2023-09-11,2023-09-11T15:37:52,yoga,Yoga,Yoga,1853,1853,0.0,5.0,0.313,,,,,,,,,intervals
i160230825,2023-09-23,2023-09-23T09:39:12,yoga,Yoga,Yoga,2421,2421,0.0,10.0,0.39,,,,,,,,,intervals
i160230721,2023-09-30,2023-09-30T11:46:22,yoga,Yoga,Yoga,2117,2117,0.0,8.0,0.377,,,,,,,,,intervals
i160230648,2023-10-07,2023-10-07T10:06:57,yoga,Yoga,Yoga,2523,2523,0.0,8.0,0.34,,,,,,,,,intervals
i160230619,2023-10-10,2023-10-10T18:10:33,yoga,Yoga,Yoga,2473,2473,0.0,8.0,0.345,,,,,,,,,intervals
i160230584,2023-10-15,2023-10-15T09:45:25,yoga,Yoga,Yoga,2555,2555,0.0,7.0,0.329,,,,,,,,,intervals
i160230513,2023-10-22,2023-10-22T09:50:32,yoga,Yoga,Yoga,2532,2532,0.0,7.0,0.323,,,,,,,,,intervals
i160230433,2023-10-29,2023-10-29T11:14:43,yoga,Yoga,Yoga,2579,2579,0.0,8.0,0.338,,,,,,,,,intervals
i160230398,2023-11-01,2023-11-01T18:39:17,yoga,Yoga,Yoga,2407,2407,0.0,6.0,0.312,,,,,,,,,intervals
i160230349,2023-11-10,2023-11-10T18:43:39,yoga,Yoga,Yoga,2615,2615,0.0,6.0,0.288,,,,,,,,,intervals
i160230213,2023-11-19,2023-11-19T11:11:20,yoga,Yoga,Yoga,2776,2776,0.0,8.0,0.333,,,,,,,,,intervals
i160230139,2023-11-26,2023-11-26T09:29:39,yoga,Yoga,Yoga,2440,2440,0.0,11.0,0.406,,,,,,,,,intervals
i160229973,2023-12-17,2023-12-17T17:13:59,yoga,Yoga,Yoga,3401,3401,0.0,6.0,0.255,,,,,,,,,intervals
i160229884,2023-12-23,2023-12-23T06:36:05,yoga,Yoga,Yoga,2505,2505,0.0,10.0,0.385,,,,,,,,,intervals
i160229819,2023-12-31,2023-12-31T06:00:21,yoga,Yoga,Morning Yoga,2880,2880,0.0,11.0,,,,,,,,,,intervals
