id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160229778,2024-01-04,2024-01-04T05:37:06,swim,Swim,Pool Swim,1186,1314,1000.0,0.0,,,,,,,,,,intervals
i160229754,2024-01-09,2024-01-09T05:40:51,swim,Swim,Pool Swim,1132,1232,950.0,18.0,0.726,,,,,,,,,intervals
i160229520,2024-02-01,2024-02-01T05:37:10,swim,Swim,Pool Swim,1106,1429,1000.0,21.0,0.728,,,,,,,,,intervals
i160229425,2024-02-10,2024-02-10T08:24:10,swim,Swim,Pool Swim,2175,2450,1900.0,28.0,0.642,,,,,,,,,intervals
i160229355,2024-02-17,2024-02-17T08:11:34,swim,Swim,Pool Swim,2270,2456,1900.0,19.0,0.528,,,,,,,,,intervals
i160229279,2024-02-29,2024-02-29T16:11:13,swim,Swim,Pool Swim,2211,2436,1900.0,21.0,0.557,,,,,,,,,intervals
i160229167,2024-03-16,2024-03-16T15:22:00,swim,Swim,Pool Swim,2250,2405,1900.0,37.0,0.744,,,,,,,,,intervals
i160229112,2024-03-25,2024-03-25T06:48:00,swim,Swim,Open Water Swim,419,420,100.0,0.0,,,,,,,,,,intervals
i160229000,2024-04-11,2024-04-11T05:37:41,swim,Swim,Pool Swim,1042,1380,1000.0,21.0,0.74,,,,,,,,,intervals
i160228881,2024-05-02,2024-05-02T05:46:20,swim,Swim,Pool Swim,1067,1174,950.0,4.0,0.352,,,,,,,,,intervals
i160228775,2024-05-23,2024-05-23T05:35:51,swim,Swim,Pool Swim,1075,1369,1000.0,21.0,0.752,,,,,,,,,intervals
i160228616,2024-06-13,2024-06-13T05:44:35,swim,Swim,Pool Swim,953,1549,1000.0,18.0,0.647,,,,,,,,,intervals
i160228480,2024-07-01,2024-07-01T05:38:20,swim,Swim,Pool Swim,998,1437,1000.0,14.0,0.607,,,,,,,,,intervals
i160228389,2024-07-13,2024-07-13T08:46:22,swim,Swim,Pool Swim,2384,2657,1900.0,46.0,0.79,,,,,,,,,intervals
i160227946,2024-09-11,2024-09-11T16:48:36,swim,Swim,Pool Swim,1142,1245,1000.0,20.0,0.761,,,,,,,,,intervals
i160227805,2024-09-26,2024-09-26T14:34:37,swim,Swim,Pool Swim,1031,1475,1000.0,20.0,0.699,,,,,,,,,intervals
i160227521,2024-11-02,2024-11-02T15:39:04,swim,Swim,Pool Swim,1143,1292,1000.0,7.0,0.442,,,,,,,,,intervals
i160227300,2024-11-30,2024-11-30T12:15:15,swim,Swim,Pool Swim,2281,2502,1900.0,47.0,0.823,,,,,,,,,intervals
