id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160226281,2025-04-13,2025-04-13T07:50:38,bike,Ride,Outdoor Cycling,5675,5813,44832.45,81.0,0.714,,,280.0,,,,,,intervals
i160226067,2025-04-26,2025-04-26T06:13:23,bike,Ride,Outdoor Cycling,14765,14868,100160.43,167.0,0.638,,,280.0,,,,,,intervals
i160225977,2025-05-01,2025-05-01T05:41:56,bike,Ride,Outdoor Cycling,21323,22767,149704.81,280.0,0.686,,,280.0,,,,,,intervals
i160225771,2025-05-15,2025-05-15T12:25:04,bike,Ride,"Stronie Śląskie, Góry Bialskie i Grupa Śnieżnika / Stronie Śląskie",6569,6834,38876.83,88.0,0.692,,,280.0,,,,,,intervals
i160225734,2025-05-16,2025-05-16T10:12:39,bike,Ride,"Stronie Śląskie / Stronie Śląskie, Góry Bialskie i Grupa Śnieżnika",8532,9638,48932.92,125.0,0.722,,,280.0,,,,,,intervals
i160225702,2025-05-17,2025-05-17T10:17:42,bike,Ride,Stronie Śląskie / Kłodzko,10011,10805,75386.01,126.0,0.673,,,280.0,,,,,,intervals
i160225515,2025-06-05,2025-06-05T11:56:57,bike,Ride,Mokrsko / Praszka,4188,4235,32242.27,70.0,0.776,,,280.0,,,,,,intervals
i160225497,2025-06-06,2025-06-06T09:37:11,bike,Ride,Mokrsko / Rudniki,5097,5317,41029.03,68.0,0.691,,,280.0,,,,,,intervals
i160225373,2025-06-14,2025-06-14T08:08:11,bike,Ride,Wrocław / Siechnice,4918,4927,40149.92,73.0,0.73,,,280.0,,,,,,intervals
i160225314,2025-06-20,2025-06-20T08:01:13,bike,Ride,Morning Ride,9957,10002,80197.84,147.0,0.727,,,280.0,,,,,,intervals
i160225253,2025-06-24,2025-06-24T11:03:12,bike,Ride,Lunch Ride,5059,5122,40158.11,55.0,0.624,,,280.0,,,,,,intervals
i160225228,2025-06-27,2025-06-27T12:09:37,bike,Ride,Lunch Ride,7183,7314,60858.6,117.0,0.759,,,280.0,,,,,,intervals
i160225214,2025-06-28,2025-06-28T08:30:24,bike,Ride,Morning Ride,7106,7310,55745.18,97.0,0.691,,,280.0,,,,,,intervals
i160225177,2025-07-03,2025-07-03T05:27:20,bike,Ride,Morning Ride,4923,4971,39916.49,75.0,0.737,,,280.0,,,,,,intervals
i160225151,2025-07-07,2025-07-07T05:09:50,bike,Ride,Morning Ride,7202,7203,60157.38,83.0,0.644,,,280.0,,,,,,intervals
i160225095,2025-07-16,2025-07-16T06:41:07,bike,Ride,Morning Ride,4862,4918,40319.6,64.0,0.685,,,280.0,,,,,,intervals
