id,date,start_time,sport,type,name,duration_s,elapsed_s,distance_m,tss,intensity_factor,np_w,avg_w,ftp_w,avg_pace_s_per_km,avg_pace_s_per_100m,decoupling_pct,efficiency_factor,intensity_class,source
i160223174,2026-01-02,2026-01-02T07:55:07,run,Run,Morning Run,3314,3318,11141.04,37.0,0.634,,,,,,,,,intervals
i160223160,2026-01-03,2026-01-03T12:34:44,run,Run,Lunch Run,3064,3069,10491.24,40.0,0.685,,,,,,,,,intervals
i160223140,2026-01-04,2026-01-04T12:03:19,run,Run,Lunch Run,4467,4533,15559.47,52.0,0.645,,,,,,,,,intervals
i160223133,2026-01-05,2026-01-05T07:41:31,run,Run,Morning Run,2273,2274,7853.92,37.0,0.766,,,,,,,,,intervals
i160223120,2026-01-06,2026-01-06T04:53:57,run,Run,Morning Run,2703,2707,10590.91,59.0,0.886,,,,,,,,,intervals
i160223114,2026-01-07,2026-01-07T07:21:33,run,Run,Morning Run,1923,1924,5608.53,18.0,0.58,,,,,,,,,intervals
i160223096,2026-01-09,2026-01-09T06:28:08,run,Run,Morning Run,3016,3083,10623.05,35.0,0.646,,,,,,,,,intervals
i160223073,2026-01-10,2026-01-10T07:23:36,run,Run,Morning Run,3694,3695,14003.19,68.0,0.814,,,,,,,,,intervals
i160223054,2026-01-11,2026-01-11T09:33:22,run,Run,Morning Run,2660,2663,9315.94,28.0,0.615,,,,,,,,,intervals
i160223039,2026-01-12,2026-01-12T07:03:51,run,Run,Morning Run,3524,3526,13914.31,78.0,0.893,,,,,,,,,intervals
i160223029,2026-01-13,2026-01-13T08:12:31,run,Run,Morning Run,2643,2644,9183.43,37.0,0.71,,,,,,,,,intervals
i160223017,2026-01-14,2026-01-14T06:19:47,run,Run,Morning Run,3502,3504,13847.26,89.0,0.956,,,,,,,,,intervals
i160223002,2026-01-15,2026-01-15T04:38:40,run,Run,Morning Run,3269,3271,11391.12,50.0,0.742,,,,,,,,,intervals
i160222966,2026-01-18,2026-01-18T06:35:48,run,Run,Morning Run,5699,5702,20017.94,45.0,0.533,,,,,,,,,intervals
i160222948,2026-01-20,2026-01-20T04:23:40,run,Run,Morning Run,3375,3377,12855.46,60.0,0.8,,,,,,,,,intervals
i160222921,2026-01-21,2026-01-21T05:59:51,run,Run,Morning Run,2277,2281,8002.36,27.0,0.653,,,,,,,,,intervals
i160222898,2026-01-22,2026-01-22T05:14:03,run,Run,Morning Run,2589,2590,10414.23,46.0,0.8,,,,,,,,,intervals
i160222853,2026-01-26,2026-01-26T06:59:26,run,Run,Morning Run,4276,4278,15101.95,52.0,0.662,,,,,,,,,intervals
i160222837,2026-01-27,2026-01-27T04:12:17,run,Run,Morning Run,4146,4147,16073.87,68.0,0.768,,,,,,,,,intervals
i160222821,2026-01-28,2026-01-28T06:07:46,run,Run,Morning Run,2058,2059,6212.24,19.0,0.577,,,,,,,,,intervals
i160222797,2026-01-29,2026-01-29T04:42:14,run,Run,Morning Run,4276,4390,15298.59,54.0,0.673,,,,,,,,,intervals
i160222746,2026-01-31,2026-01-31T09:24:26,run,Run,WTF Ale się pogubiłem Run,6267,6330,22531.79,91.0,0.723,,,,,,,,,intervals
i160222732,2026-02-01,2026-02-01T07:08:08,run,Run,Morning Run,2023,2063,6117.77,23.0,0.634,,,,,,,,,intervals
i160222707,2026-02-03,2026-02-03T05:20:30,run,Run,Morning Run,3503,3533,14134.12,71.0,0.851,,,,,,,,,intervals
i160222696,2026-02-04,2026-02-04T06:54:40,run,Run,Morning Run,2663,2664,9656.12,30.0,0.637,,,,,,,,,intervals
i160222676,2026-02-05,2026-02-05T04:54:23,run,Run,Morning Run,2572,2620,9415.47,49.0,0.826,,,,,,,,,intervals
i160222645,2026-02-09,2026-02-09T06:05:35,run,Run,Morning Run,4082,4107,14847.24,51.0,0.669,,,,,,,,,intervals
i160222634,2026-02-10,2026-02-10T04:20:18,run,Run,Morning Run,3904,3905,16048.07,76.0,0.837,,,,,,,,,intervals
i160222611,2026-02-11,2026-02-11T06:00:45,run,Run,Morning Run,1993,1995,6244.76,18.0,0.57,,,,,,,,,intervals
i160222596,2026-02-12,2026-02-12T05:17:53,run,Run,Morning Run,4291,4296,15882.98,42.0,0.593,,,,,,,,,intervals
i160222547,2026-02-17,2026-02-17T04:10:32,run,Run,Snow Threshold,3917,3918,16064.04,74.0,0.825,,,,,,,,,intervals
i160222525,2026-02-18,2026-02-18T05:16:42,run,Run,Morning Run,1712,1717,5154.68,15.0,0.561,,,,,,,,,intervals
i160222507,2026-02-19,2026-02-19T04:42:41,run,Run,Morning Run,2876,2910,10287.8,31.0,0.619,,,,,,,,,intervals
i160222471,2026-02-21,2026-02-21T09:53:01,run,Run,Morning Run,5424,5426,19597.9,87.0,0.76,,,,,,,,,intervals
i160222460,2026-02-24,2026-02-24T04:13:22,run,Run,Morning Run,2904,2906,11560.36,60.0,0.862,,,,,,,,,intervals
i160222438,2026-02-25,2026-02-25T04:55:27,run,Run,Morning Run,2675,2676,9661.41,41.0,0.743,,,,,,,,,intervals
i160222420,2026-02-26,2026-02-26T04:22:28,run,Run,Morning Run,2900,2902,11736.96,51.0,0.796,,,,,,,,,intervals
i160222404,2026-02-28,2026-02-28T08:37:25,run,Run,Morning Run,2214,2237,8415.62,43.0,0.832,,,,,,,,,intervals
i160222386,2026-03-01,2026-03-01T07:33:05,run,Run,Morning Run,5333,5715,18451.44,88.0,0.756,,,,,,,,,intervals
i160222367,2026-03-03,2026-03-03T04:10:24,run,Run,Morning Running,3020,3021,12659.85,47.0,0.749,,,,,,,,,intervals
i160222344,2026-03-04,2026-03-04T04:24:49,run,Run,Morning Run,2742,2743,10077.82,32.0,0.648,,,,,,,,,intervals
i160222333,2026-03-05,2026-03-05T04:48:56,run,Run,Morning Run,2726,2727,10015.21,27.0,0.597,,,,,,,,,intervals
i160222321,2026-03-06,2026-03-06T04:26:26,run,Run,Morning Run,2941,2942,10819.84,34.0,0.645,,,,,,,,,intervals
i160222285,2026-03-07,2026-03-07T10:23:35,run,Run,Morning Run,4886,4887,18014.78,49.0,0.601,,,,,,,,,intervals
i160222271,2026-03-10,2026-03-10T04:05:36,run,Run,Morning Run,3312,3313,13798.76,59.0,0.801,,,,,,,,,intervals
i160222248,2026-03-11,2026-03-11T04:21:45,run,Run,Morning Run,2622,2623,9447.98,33.0,0.673,,,,,,,,,intervals
i160222212,2026-03-13,2026-03-13T04:21:13,run,Run,Morning Run,2565,2566,10033.22,36.0,0.711,,,,,,,,,intervals
i160222178,2026-03-15,2026-03-15T07:10:33,run,Run,Morning Run,4694,4739,17009.44,62.0,0.69,,,,,,,,,intervals
i160222163,2026-03-17,2026-03-17T04:13:23,run,Run,Morning Run,2703,2704,11367.87,48.0,0.8,,,,,,,,,intervals
i160222126,2026-03-20,2026-03-20T04:38:00,run,Run,Morning Run,3313,3314,12329.18,39.0,0.651,,,,,,,,,intervals
