date,hrv_rmssd_ms,resting_hr_bpm,sleep_hours,weight_kg,ctl,atl,source
2026-01-01,,,,,44.644447,47.499,intervals
2026-01-02,,,,,44.46459,48.098183,intervals
2026-01-03,,,,,45.06539,51.013798,intervals
2026-01-04,,,,,45.22855,51.145084,intervals
2026-01-05,,,,,45.717266,53.1226,intervals
2026-01-06,,,,,46.029785,53.905014,intervals
2026-01-07,,,,,45.370293,52.985806,intervals
2026-01-08,,,,,44.302807,46.86408,intervals
2026-01-09,,,,,44.836834,49.544613,intervals
2026-01-10,,,,,45.381824,52.001434,intervals
2026-01-11,,,,,45.819878,56.92676,intervals
2026-01-12,,,,,46.577023,59.732075,intervals
2026-01-13,,,,,46.96343,60.167107,intervals
2026-01-14,,,,,48.070118,64.67101,intervals
2026-01-15,,,,,48.56256,65.2473,intervals
2026-01-16,,,,,48.572853,67.21121,intervals
2026-01-17,,,,,47.430016,62.523823,intervals
2026-01-18,,,,,47.37284,60.191013,intervals
2026-01-19,,,,,46.258236,52.710747,intervals
2026-01-20,,,,,47.146236,56.876038,intervals
2026-01-21,,,,,47.425137,57.158783,intervals
2026-01-22,,,,,48.215096,60.332577,intervals
2026-01-23,,,,,47.598297,59.48957,intervals
2026-01-24,,,,,46.47839,53.70015,intervals
2026-01-25,,,,,46.443607,52.541965,intervals
2026-01-26,,,,,47.186077,55.930992,intervals
2026-01-27,,,,,48.781624,63.794384,intervals
2026-01-28,,,,,48.080914,61.958046,intervals
2026-01-29,,,,,48.808388,64.22671,intervals
2026-01-30,,,,,48.459972,64.196526,intervals
2026-01-31,,,,,50.072605,71.22584,intervals
2026-02-01,,,,,49.43563,64.805916,intervals
2026-02-02,,,,,48.272495,56.844425,intervals
2026-02-03,,,,,48.807236,58.728844,intervals
2026-02-04,,,,,49.117638,59.164307,intervals
2026-02-05,,,,,49.773663,61.53863,intervals
2026-02-06,,,,,48.602573,60.26883,intervals
2026-02-07,,,,,47.459038,56.771866,intervals
2026-02-08,,,,,46.342407,49.214275,intervals
2026-02-09,,,,,47.2049,53.711903,intervals
2026-02-10,,,,,48.494137,60.140114,intervals
2026-02-11,,,,,47.77666,58.25775,intervals
2026-02-12,,,,,48.27601,59.687782,intervals
2026-02-13,,,,,48.081287,58.398125,intervals
2026-02-14,,,,,48.2676,58.07888,intervals
2026-02-15,,,,,47.131947,50.347298,intervals
2026-02-16,,,,,46.02301,44.576813,intervals
2026-02-17,,,,,47.198883,54.750427,intervals
2026-02-18,,,,,46.770695,51.322475,intervals
2026-02-19,,,,,47.481937,54.740723,intervals
2026-02-20,,,,,46.952976,52.112797,intervals
2026-02-21,,,,,47.895214,56.757053,intervals
2026-02-22,,,,,46.768322,52.396366,intervals
2026-02-23,58.1,52.2,7.59,,45.667942,45.421253,open_wearables
2026-02-24,57.9,51.4,7.32,,46.640415,50.956303,open_wearables
2026-02-25,69.2,49.7,7.1,,47.1665,53.35832,open_wearables
2026-02-26,57.7,48.6,7.48,,47.256695,53.044373,open_wearables
2026-02-27,63.8,49.1,7.63,,46.991844,50.77539,open_wearables
2026-02-28,60.7,52.8,7.45,,46.897923,49.740314,open_wearables
2026-03-01,63.2,50.5,7.39,,47.864986,54.833523,open_wearables
2026-03-02,61.5,49.3,7.23,,46.738804,47.53397,open_wearables
2026-03-03,68.2,52.4,7.6,,47.380215,56.38207,open_wearables
2026-03-04,67.0,47.8,7.11,,47.441853,55.532475,open_wearables
2026-03-05,71.2,50.4,7.63,,48.184364,58.65652,open_wearables
2026-03-06,74.8,47.5,8.0,,48.485893,64.02713,open_wearables
2026-03-07,66.4,51.3,7.3,,49.50971,67.75094,open_wearables
2026-03-08,69.8,51.8,7.82,,48.34483,58.731792,open_wearables
2026-03-09,68.7,48.5,7.8,,47.207355,51.845146,open_wearables
2026-03-10,63.0,49.8,7.89,,48.331837,61.051186,open_wearables
2026-03-11,64.9,47.1,6.64,,48.55931,60.645004,open_wearables
2026-03-12,71.2,50.0,7.75,,50.35783,69.212074,open_wearables
2026-03-13,72.8,48.2,7.97,,50.655277,71.58004,open_wearables
2026-03-14,70.3,51.0,8.06,,50.475163,67.775406,open_wearables
2026-03-15,65.4,48.8,8.06,,50.746323,67.00657,open_wearables
2026-03-16,77.0,46.9,8.15,,49.55235,58.619003,open_wearables
2026-03-17,71.5,44.0,6.85,,50.198147,61.06592,open_wearables
2026-03-18,81.3,46.9,6.9,,50.80522,63.053978,open_wearables
2026-03-19,86.0,46.5,7.44,,50.62158,64.24489,open_wearables
2026-03-20,74.1,47.2,6.68,,50.959877,64.34541,open_wearables
2026-03-21,74.8,44.3,7.92,,52.631332,72.020515,open_wearables
2026-03-22,82.1,44.8,7.72,,51.393005,62.432995,open_wearables
2026-03-23,76.3,51.0,7.37,,51.877853,63.706573,open_wearables
2026-03-24,70.0,50.1,7.73,,51.951313,66.674324,open_wearables
2026-03-25,69.1,49.6,6.6,,52.49361,67.78265,open_wearables
2026-03-26,72.2,48.4,7.77,,54.10545,74.86706,open_wearables
2026-03-27,64.1,50.0,8.08,,54.597065,79.410904,open_wearables
2026-03-28,64.4,49.5,7.93,,55.477093,84.41484,open_wearables
2026-03-29,66.3,45.7,7.45,,54.17181,73.17736,open_wearables
2026-03-30,65.4,49.3,7.13,,52.89724,64.10145,open_wearables
2026-03-31,66.5,51.7,7.74,,54.02902,69.01346,open_wearables
2026-04-01,68.4,50.3,7.26,,54.428318,69.27791,open_wearables
2026-04-02,60.8,49.6,7.41,,55.52407,73.50082,open_wearables
2026-04-03,57.8,48.9,7.84,,54.735306,69.30736,open_wearables
2026-04-04,65.3,51.2,7.22,,54.835648,70.198296,open_wearables
2026-04-05,66.0,52.6,6.98,,53.545456,60.85335,open_wearables
2026-04-06,63.5,51.0,7.06,,53.720848,60.872875,open_wearables
2026-04-07,68.3,51.1,6.62,,54.245037,62.88663,open_wearables
2026-04-08,64.5,52.8,7.53,,54.94512,65.69729,open_wearables
2026-04-09,68.1,50.4,7.67,,55.464035,67.20193,open_wearables
2026-04-10,62.1,52.3,7.56,,55.076664,65.31134,open_wearables
2026-04-11,60.2,48.8,8.08,,53.780804,59.013157,open_wearables
2026-04-12,60.6,49.3,7.37,,53.69185,57.813305,open_wearables
2026-04-13,64.7,48.2,6.71,,54.710815,63.02992,open_wearables
2026-04-14,60.4,48.4,6.81,,55.494053,66.35399,open_wearables
2026-04-15,67.8,49.9,7.46,,56.47062,70.43365,open_wearables
2026-04-16,71.0,48.6,6.77,,56.224262,70.90841,open_wearables
2026-04-17,77.4,49.7,7.81,,55.795475,66.52757,open_wearables
2026-04-18,67.3,49.9,8.01,,58.24723,78.97082,open_wearables
2026-04-19,69.5,49.2,6.82,,57.88849,74.182304,open_wearables
2026-04-20,59.6,51.1,7.5,,56.52647,64.307,open_wearables
2026-04-21,63.6,52.7,7.46,,56.514084,65.73048,open_wearables
2026-04-22,62.3,52.7,7.99,,57.01961,67.36382,open_wearables
2026-04-23,54.1,51.5,7.54,,56.548584,64.25358,open_wearables
2026-04-24,59.2,55.0,8.15,,56.06511,63.820454,open_wearables
2026-04-25,61.2,51.5,7.98,,60.4869,87.806335,open_wearables
2026-04-26,55.4,50.6,6.68,,59.063747,76.11737,open_wearables
2026-04-27,52.7,50.9,7.43,,58.944607,73.17306,open_wearables
2026-04-28,53.7,53.4,7.25,,60.122326,81.27047,open_wearables
2026-04-29,53.3,52.4,8.06,,59.742996,76.308945,open_wearables
2026-04-30,56.7,54.7,7.42,,59.53729,72.939766,open_wearables
2026-05-01,58.4,53.5,7.44,,59.430534,70.55159,open_wearables
2026-05-02,64.4,54.8,7.6,,58.149876,61.825226,open_wearables
2026-05-03,58.2,56.1,7.71,,57.605198,58.254196,open_wearables
2026-05-04,57.5,55.4,6.94,,57.473316,58.220356,open_wearables
2026-05-05,54.3,52.1,6.95,,57.74452,59.655365,open_wearables
2026-05-06,62.2,51.9,7.79,,58.009342,60.89934,open_wearables
2026-05-07,63.9,53.5,6.74,,56.64448,52.792294,open_wearables
2026-05-08,58.7,53.0,7.26,,55.311733,50.290623,open_wearables
2026-05-09,59.2,51.7,6.78,,58.31602,67.95718,open_wearables
2026-05-10,51.6,50.7,7.18,,56.943943,58.910576,open_wearables
2026-05-11,69.5,49.5,6.94,,57.3923,61.185555,open_wearables
2026-05-12,72.3,50.2,7.1,,58.018333,66.21949,open_wearables
2026-05-13,56.7,52.0,6.65,,57.194412,60.466022,open_wearables
2026-05-14,62.3,48.5,7.11,,55.848724,57.741543,open_wearables
2026-05-15,69.9,49.3,7.05,,58.29923,71.3544,open_wearables
2026-05-16,67.3,48.4,7.61,,58.621586,71.440346,open_wearables
2026-05-17,66.9,51.6,8.18,,60.936264,82.83022,open_wearables
2026-05-18,66.3,51.4,6.79,,59.502537,71.80369,open_wearables
2026-05-19,62.7,53.5,7.88,,60.4789,75.69036,open_wearables
2026-05-20,56.9,50.9,6.79,,59.055935,68.542984,open_wearables
2026-05-21,65.6,51.6,7.78,,58.442883,63.811428,open_wearables
2026-05-22,63.6,50.4,6.89,,62.173466,84.204216,open_wearables
2026-05-23,56.7,50.9,7.19,,60.71063,72.994774,open_wearables
2026-05-24,62.1,50.6,6.92,,59.28221,63.277557,open_wearables
